train_leads.py gs
Calling the run method
[74][74/400][1/1] | loss: 3.313e-02 | loss_train: 9.244e-03 | loss_e0: 3.564e-02 | loss_e1: 3.534e-02 | loss_e2: 2.841e-02
[75][75/400][1/1] | loss: 3.296e-02 | loss_train: 9.263e-03 | loss_e0: 3.542e-02 | loss_e1: 3.528e-02 | loss_e2: 2.817e-02
[76][76/400][1/1] | loss: 3.277e-02 | loss_train: 8.887e-03 | loss_e0: 3.522e-02 | loss_e1: 3.516e-02 | loss_e2: 2.794e-02
[77][77/400][1/1] | loss: 3.258e-02 | loss_train: 1.033e-02 | loss_e0: 3.502e-02 | loss_e1: 3.503e-02 | loss_e2: 2.768e-02
[78][78/400][1/1] | loss: 3.237e-02 | loss_train: 8.775e-03 | loss_e0: 3.478e-02 | loss_e1: 3.492e-02 | loss_e2: 2.741e-02
[79][79/400][1/1] | loss: 3.218e-02 | loss_train: 9.032e-03 | loss_e0: 3.457e-02 | loss_e1: 3.480e-02 | loss_e2: 2.718e-02
[80][80/400][1/1] | loss: 3.199e-02 | loss_train: 9.953e-03 | loss_e0: 3.438e-02 | loss_e1: 3.467e-02 | loss_e2: 2.693e-02
[81][81/400][1/1] | loss: 3.180e-02 | loss_train: 8.733e-03 | loss_e0: 3.417e-02 | loss_e1: 3.455e-02 | loss_e2: 2.668e-02
[82][82/400][1/1] | loss: 3.161e-02 | loss_train: 1.038e-02 | loss_e0: 3.398e-02 | loss_e1: 3.440e-02 | loss_e2: 2.645e-02
[83][83/400][1/1] | loss: 3.143e-02 | loss_train: 9.316e-03 | loss_e0: 3.378e-02 | loss_e1: 3.427e-02 | loss_e2: 2.625e-02
[84][84/400][1/1] | loss: 3.126e-02 | loss_train: 1.255e-02 | loss_e0: 3.360e-02 | loss_e1: 3.413e-02 | loss_e2: 2.606e-02
[85][85/400][1/1] | loss: 3.110e-02 | loss_train: 1.016e-02 | loss_e0: 3.342e-02 | loss_e1: 3.404e-02 | loss_e2: 2.584e-02
[86][86/400][1/1] | loss: 3.093e-02 | loss_train: 1.214e-02 | loss_e0: 3.325e-02 | loss_e1: 3.393e-02 | loss_e2: 2.563e-02
[87][87/400][1/1] | loss: 3.085e-02 | loss_train: 8.642e-03 | loss_e0: 3.309e-02 | loss_e1: 3.402e-02 | loss_e2: 2.543e-02
[88][88/400][1/1] | loss: 3.077e-02 | loss_train: 8.730e-03 | loss_e0: 3.296e-02 | loss_e1: 3.409e-02 | loss_e2: 2.527e-02
[89][89/400][1/1] | loss: 3.068e-02 | loss_train: 8.913e-03 | loss_e0: 3.285e-02 | loss_e1: 3.409e-02 | loss_e2: 2.512e-02
[90][90/400][1/1] | loss: 3.059e-02 | loss_train: 1.021e-02 | loss_e0: 3.277e-02 | loss_e1: 3.400e-02 | loss_e2: 2.501e-02
[91][91/400][1/1] | loss: 3.052e-02 | loss_train: 1.019e-02 | loss_e0: 3.269e-02 | loss_e1: 3.398e-02 | loss_e2: 2.489e-02
[92][92/400][1/1] | loss: 3.044e-02 | loss_train: 8.491e-03 | loss_e0: 3.263e-02 | loss_e1: 3.389e-02 | loss_e2: 2.481e-02
[93][93/400][1/1] | loss: 3.036e-02 | loss_train: 9.664e-03 | loss_e0: 3.261e-02 | loss_e1: 3.369e-02 | loss_e2: 2.477e-02
[94][94/400][1/1] | loss: 3.025e-02 | loss_train: 8.704e-03 | loss_e0: 3.261e-02 | loss_e1: 3.345e-02 | loss_e2: 2.470e-02
[95][95/400][1/1] | loss: 3.011e-02 | loss_train: 8.428e-03 | loss_e0: 3.260e-02 | loss_e1: 3.309e-02 | loss_e2: 2.464e-02
[96][96/400][1/1] | loss: 3.004e-02 | loss_train: 8.711e-03 | loss_e0: 3.263e-02 | loss_e1: 3.288e-02 | loss_e2: 2.460e-02
[97][97/400][1/1] | loss: 2.999e-02 | loss_train: 8.140e-03 | loss_e0: 3.268e-02 | loss_e1: 3.270e-02 | loss_e2: 2.458e-02
[98][98/400][1/1] | loss: 2.995e-02 | loss_train: 8.191e-03 | loss_e0: 3.275e-02 | loss_e1: 3.253e-02 | loss_e2: 2.456e-02
[99][99/400][1/1] | loss: 2.992e-02 | loss_train: 8.144e-03 | loss_e0: 3.282e-02 | loss_e1: 3.238e-02 | loss_e2: 2.455e-02
[100][100/400][1/1] | loss: 2.988e-02 | loss_train: 8.126e-03 | loss_e0: 3.287e-02 | loss_e1: 3.226e-02 | loss_e2: 2.451e-02

Print loss test
: [0.03335815668106079, 0.04691300541162491, 0.03146992623806, 0.03297073394060135, 0.034977737814188004, 0.03173518553376198, 0.03005281649529934, 0.030405482277274132, 0.03166823834180832, 0.029377881437540054, 0.035687658935785294, 0.03239643573760986, 0.031720735132694244, 0.031475942581892014, 0.0327160470187664, 0.030408252030611038, 0.03247024863958359, 0.029801856726408005, 0.034820329397916794, 0.031431280076503754, 0.03308425843715668, 0.029273390769958496, 0.03534473106265068, 0.03553064912557602, 0.02996910735964775, 0.028631823137402534, 0.03035390004515648, 0.032477155327796936, 0.03384779766201973, 0.03470407426357269, 0.032219868153333664, 0.03108520433306694]
[100][100/400][1/1] | loss_test_mean: 3.257e-02 | loss_test_std: 3.262e-03
[101][101/400][1/1] | loss: 2.985e-02 | loss_train: 9.472e-03 | loss_e0: 3.291e-02 | loss_e1: 3.221e-02 | loss_e2: 2.443e-02
[102][102/400][1/1] | loss: 2.970e-02 | loss_train: 8.054e-03 | loss_e0: 3.288e-02 | loss_e1: 3.191e-02 | loss_e2: 2.431e-02
[103][103/400][1/1] | loss: 2.957e-02 | loss_train: 8.003e-03 | loss_e0: 3.283e-02 | loss_e1: 3.174e-02 | loss_e2: 2.415e-02
[104][104/400][1/1] | loss: 2.949e-02 | loss_train: 8.096e-03 | loss_e0: 3.279e-02 | loss_e1: 3.170e-02 | loss_e2: 2.398e-02
[105][105/400][1/1] | loss: 2.939e-02 | loss_train: 1.059e-02 | loss_e0: 3.267e-02 | loss_e1: 3.172e-02 | loss_e2: 2.378e-02
[106][106/400][1/1] | loss: 2.932e-02 | loss_train: 9.808e-03 | loss_e0: 3.256e-02 | loss_e1: 3.197e-02 | loss_e2: 2.343e-02
[107][107/400][1/1] | loss: 3.001e-02 | loss_train: 9.280e-03 | loss_e0: 3.267e-02 | loss_e1: 3.413e-02 | loss_e2: 2.322e-02
[108][108/400][1/1] | loss: 3.145e-02 | loss_train: 9.763e-03 | loss_e0: 3.296e-02 | loss_e1: 3.821e-02 | loss_e2: 2.316e-02
[109][109/400][1/1] | loss: 3.186e-02 | loss_train: 9.637e-03 | loss_e0: 3.299e-02 | loss_e1: 3.957e-02 | loss_e2: 2.302e-02
[110][110/400][1/1] | loss: 3.238e-02 | loss_train: 8.952e-03 | loss_e0: 3.320e-02 | loss_e1: 4.091e-02 | loss_e2: 2.303e-02
[111][111/400][1/1] | loss: 3.068e-02 | loss_train: 7.957e-03 | loss_e0: 3.247e-02 | loss_e1: 3.694e-02 | loss_e2: 2.264e-02
[112][112/400][1/1] | loss: 2.955e-02 | loss_train: 9.655e-03 | loss_e0: 3.207e-02 | loss_e1: 3.415e-02 | loss_e2: 2.244e-02
[113][113/400][1/1] | loss: 2.841e-02 | loss_train: 9.493e-03 | loss_e0: 3.159e-02 | loss_e1: 3.141e-02 | loss_e2: 2.223e-02
[114][114/400][1/1] | loss: 2.811e-02 | loss_train: 8.369e-03 | loss_e0: 3.107e-02 | loss_e1: 3.117e-02 | loss_e2: 2.210e-02
[115][115/400][1/1] | loss: 2.930e-02 | loss_train: 8.619e-03 | loss_e0: 3.079e-02 | loss_e1: 3.504e-02 | loss_e2: 2.208e-02
[116][116/400][1/1] | loss: 3.100e-02 | loss_train: 7.816e-03 | loss_e0: 3.069e-02 | loss_e1: 4.017e-02 | loss_e2: 2.215e-02
[117][117/400][1/1] | loss: 3.204e-02 | loss_train: 9.913e-03 | loss_e0: 3.069e-02 | loss_e1: 4.315e-02 | loss_e2: 2.230e-02
[118][118/400][1/1] | loss: 3.201e-02 | loss_train: 8.174e-03 | loss_e0: 3.068e-02 | loss_e1: 4.284e-02 | loss_e2: 2.250e-02
[119][119/400][1/1] | loss: 3.110e-02 | loss_train: 1.062e-02 | loss_e0: 3.096e-02 | loss_e1: 3.945e-02 | loss_e2: 2.289e-02
[120][120/400][1/1] | loss: 2.917e-02 | loss_train: 7.633e-03 | loss_e0: 3.110e-02 | loss_e1: 3.355e-02 | loss_e2: 2.286e-02
[121][121/400][1/1] | loss: 2.961e-02 | loss_train: 8.027e-03 | loss_e0: 3.146e-02 | loss_e1: 3.437e-02 | loss_e2: 2.299e-02
[122][122/400][1/1] | loss: 3.436e-02 | loss_train: 8.235e-03 | loss_e0: 3.192e-02 | loss_e1: 4.787e-02 | loss_e2: 2.328e-02
