Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/1000][1/1] | loss: 3.609e+00 | loss_train: 6.805e-01 | loss_e0: 7.158e+00 | loss_e1: 7.159e+00 | loss_e2: 3.172e+00 | loss_e3: 2.424e+00 | loss_e4: 9.359e-01 | loss_e5: 8.031e-01
[46][46/1000][1/1] | loss: 7.401e-02 | loss_train: 7.282e-02 | loss_e0: 2.648e-02 | loss_e1: 1.530e-01 | loss_e2: 1.060e-02 | loss_e3: 1.157e-02 | loss_e4: 2.193e-01 | loss_e5: 2.310e-02
[47][47/1000][1/1] | loss: 6.941e-02 | loss_train: 6.579e-02 | loss_e0: 2.732e-02 | loss_e1: 1.465e-01 | loss_e2: 8.589e-03 | loss_e3: 8.391e-03 | loss_e4: 2.057e-01 | loss_e5: 1.990e-02
[48][48/1000][1/1] | loss: 6.583e-02 | loss_train: 6.540e-02 | loss_e0: 2.480e-02 | loss_e1: 1.379e-01 | loss_e2: 7.301e-03 | loss_e3: 6.654e-03 | loss_e4: 1.938e-01 | loss_e5: 2.446e-02
[49][49/1000][1/1] | loss: 6.382e-02 | loss_train: 6.415e-02 | loss_e0: 2.238e-02 | loss_e1: 1.251e-01 | loss_e2: 6.670e-03 | loss_e3: 6.159e-03 | loss_e4: 1.867e-01 | loss_e5: 3.588e-02
[50][50/1000][1/1] | loss: 6.269e-02 | loss_train: 6.258e-02 | loss_e0: 2.077e-02 | loss_e1: 1.212e-01 | loss_e2: 6.442e-03 | loss_e3: 6.136e-03 | loss_e4: 1.840e-01 | loss_e5: 3.757e-02

Print loss test
: [0.05329538881778717, 0.14678755402565002, 0.08121134340763092, 0.11823628097772598]
[50][50/1000][1/1] | loss_test_mean: 9.988e-02 | loss_test_std: 4.105e-02
[51][51/1000][1/1] | loss: 6.117e-02 | loss_train: 6.057e-02 | loss_e0: 1.889e-02 | loss_e1: 1.266e-01 | loss_e2: 6.313e-03 | loss_e3: 5.864e-03 | loss_e4: 1.817e-01 | loss_e5: 2.761e-02
[52][52/1000][1/1] | loss: 6.137e-02 | loss_train: 5.953e-02 | loss_e0: 1.739e-02 | loss_e1: 1.411e-01 | loss_e2: 6.053e-03 | loss_e3: 5.039e-03 | loss_e4: 1.788e-01 | loss_e5: 1.980e-02
[53][53/1000][1/1] | loss: 6.292e-02 | loss_train: 5.745e-02 | loss_e0: 1.697e-02 | loss_e1: 1.522e-01 | loss_e2: 5.592e-03 | loss_e3: 3.915e-03 | loss_e4: 1.767e-01 | loss_e5: 2.215e-02
[54][54/1000][1/1] | loss: 6.598e-02 | loss_train: 5.613e-02 | loss_e0: 1.697e-02 | loss_e1: 1.657e-01 | loss_e2: 5.080e-03 | loss_e3: 2.868e-03 | loss_e4: 1.759e-01 | loss_e5: 2.933e-02
[55][55/1000][1/1] | loss: 6.896e-02 | loss_train: 5.518e-02 | loss_e0: 1.655e-02 | loss_e1: 1.806e-01 | loss_e2: 4.707e-03 | loss_e3: 2.110e-03 | loss_e4: 1.761e-01 | loss_e5: 3.374e-02
