train_leads.py gs
[73][73/1200][1/1] | loss: 4.646e+10 | loss_train: 4.150e-03 | loss_e0: 1.394e+11 | loss_e1: 2.284e-02 | loss_e2: 8.453e-03
[74][74/1200][1/1] | loss: 2.668e+13 | loss_train: 3.652e-03 | loss_e0: 8.003e+13 | loss_e1: 3.605e-02 | loss_e2: 1.089e-02
[75][75/1200][1/1] | loss: 5.418e+09 | loss_train: 3.144e-03 | loss_e0: 1.626e+10 | loss_e1: 1.860e-02 | loss_e2: 9.129e-03
[76][76/1200][1/1] | loss: 5.314e+09 | loss_train: 3.156e-03 | loss_e0: 1.594e+10 | loss_e1: 2.957e-02 | loss_e2: 2.740e-02
[77][77/1200][1/1] | loss: 1.122e+14 | loss_train: 4.683e-03 | loss_e0: 3.366e+14 | loss_e1: 1.800e-02 | loss_e2: 1.108e-02
[78][78/1200][1/1] | loss: 2.164e-02 | loss_train: 3.553e-03 | loss_e0: 3.453e-02 | loss_e1: 1.784e-02 | loss_e2: 1.256e-02
[79][79/1200][1/1] | loss: 1.995e-02 | loss_train: 4.112e-03 | loss_e0: 3.339e-02 | loss_e1: 1.795e-02 | loss_e2: 8.495e-03
[80][80/1200][1/1] | loss: 1.629e-02 | loss_train: 4.396e-03 | loss_e0: 2.143e-02 | loss_e1: 2.172e-02 | loss_e2: 5.726e-03
[81][81/1200][1/1] | loss: 1.548e-02 | loss_train: 3.489e-03 | loss_e0: 1.815e-02 | loss_e1: 2.222e-02 | loss_e2: 6.059e-03
[82][82/1200][1/1] | loss: 1.401e-02 | loss_train: 3.872e-03 | loss_e0: 1.575e-02 | loss_e1: 1.711e-02 | loss_e2: 9.171e-03
[83][83/1200][1/1] | loss: 1.892e-02 | loss_train: 3.639e-03 | loss_e0: 1.310e-02 | loss_e1: 2.822e-02 | loss_e2: 1.544e-02
[84][84/1200][1/1] | loss: 1.325e-02 | loss_train: 3.546e-03 | loss_e0: 1.213e-02 | loss_e1: 2.266e-02 | loss_e2: 4.953e-03
[85][85/1200][1/1] | loss: 2.492e-02 | loss_train: 3.355e-03 | loss_e0: 1.046e-02 | loss_e1: 5.889e-02 | loss_e2: 5.400e-03
[86][86/1200][1/1] | loss: 3.631e-02 | loss_train: 3.564e-03 | loss_e0: 3.617e-02 | loss_e1: 6.083e-02 | loss_e2: 1.193e-02
[87][87/1200][1/1] | loss: 5.385e-02 | loss_train: 2.994e-03 | loss_e0: 2.200e-02 | loss_e1: 1.303e-01 | loss_e2: 9.234e-03
[88][88/1200][1/1] | loss: 5.916e-02 | loss_train: 3.049e-03 | loss_e0: 1.746e-02 | loss_e1: 1.521e-01 | loss_e2: 7.943e-03
[89][89/1200][1/1] | loss: 4.660e-02 | loss_train: 2.518e-03 | loss_e0: 2.005e-02 | loss_e1: 1.127e-01 | loss_e2: 7.023e-03
[90][90/1200][1/1] | loss: 2.989e-02 | loss_train: 3.395e-03 | loss_e0: 1.794e-02 | loss_e1: 6.571e-02 | loss_e2: 6.016e-03
[91][91/1200][1/1] | loss: 2.245e-02 | loss_train: 3.075e-03 | loss_e0: 2.989e-02 | loss_e1: 2.954e-02 | loss_e2: 7.930e-03
[92][92/1200][1/1] | loss: 1.257e-02 | loss_train: 2.733e-03 | loss_e0: 1.039e-02 | loss_e1: 2.000e-02 | loss_e2: 7.317e-03
[93][93/1200][1/1] | loss: 1.171e-02 | loss_train: 3.150e-03 | loss_e0: 1.169e-02 | loss_e1: 1.480e-02 | loss_e2: 8.661e-03
[94][94/1200][1/1] | loss: 1.124e-02 | loss_train: 2.844e-03 | loss_e0: 1.166e-02 | loss_e1: 1.633e-02 | loss_e2: 5.729e-03
[95][95/1200][1/1] | loss: 1.147e-02 | loss_train: 2.987e-03 | loss_e0: 1.231e-02 | loss_e1: 1.731e-02 | loss_e2: 4.777e-03
[96][96/1200][1/1] | loss: 1.203e-02 | loss_train: 2.428e-03 | loss_e0: 1.465e-02 | loss_e1: 1.530e-02 | loss_e2: 6.131e-03
[97][97/1200][1/1] | loss: 1.464e-02 | loss_train: 2.329e-03 | loss_e0: 1.557e-02 | loss_e1: 1.528e-02 | loss_e2: 1.307e-02
[98][98/1200][1/1] | loss: 1.297e-02 | loss_train: 2.073e-03 | loss_e0: 1.296e-02 | loss_e1: 1.311e-02 | loss_e2: 1.285e-02
[99][99/1200][1/1] | loss: 1.311e-02 | loss_train: 1.980e-03 | loss_e0: 1.408e-02 | loss_e1: 1.393e-02 | loss_e2: 1.131e-02
[100][100/1200][1/1] | loss: 1.511e-02 | loss_train: 1.999e-03 | loss_e0: 1.776e-02 | loss_e1: 1.525e-02 | loss_e2: 1.232e-02
[100][100/1200][1/1] | loss_test_mean: 2.437e-02 | loss_test_std: 5.949e-03
[101][101/1200][1/1] | loss: 1.522e-02 | loss_train: 2.187e-03 | loss_e0: 2.249e-02 | loss_e1: 1.475e-02 | loss_e2: 8.406e-03
[102][102/1200][1/1] | loss: 1.745e-02 | loss_train: 1.888e-03 | loss_e0: 2.764e-02 | loss_e1: 1.962e-02 | loss_e2: 5.101e-03
[103][103/1200][1/1] | loss: 1.855e-02 | loss_train: 1.658e-03 | loss_e0: 2.808e-02 | loss_e1: 2.348e-02 | loss_e2: 4.085e-03
[104][104/1200][1/1] | loss: 1.826e-02 | loss_train: 1.761e-03 | loss_e0: 2.548e-02 | loss_e1: 2.540e-02 | loss_e2: 3.909e-03
[105][105/1200][1/1] | loss: 1.705e-02 | loss_train: 1.808e-03 | loss_e0: 2.069e-02 | loss_e1: 2.662e-02 | loss_e2: 3.856e-03
[106][106/1200][1/1] | loss: 1.491e-02 | loss_train: 1.672e-03 | loss_e0: 1.436e-02 | loss_e1: 2.692e-02 | loss_e2: 3.460e-03
[107][107/1200][1/1] | loss: 1.030e-02 | loss_train: 1.544e-03 | loss_e0: 8.978e-03 | loss_e1: 1.880e-02 | loss_e2: 3.111e-03
[108][108/1200][1/1] | loss: 1.023e-02 | loss_train: 2.054e-03 | loss_e0: 1.025e-02 | loss_e1: 1.705e-02 | loss_e2: 3.393e-03
[109][109/1200][1/1] | loss: 9.247e-03 | loss_train: 1.549e-03 | loss_e0: 8.713e-03 | loss_e1: 1.546e-02 | loss_e2: 3.568e-03
[110][110/1200][1/1] | loss: 8.964e-03 | loss_train: 1.555e-03 | loss_e0: 7.984e-03 | loss_e1: 1.488e-02 | loss_e2: 4.025e-03
[111][111/1200][1/1] | loss: 1.142e-02 | loss_train: 1.445e-03 | loss_e0: 1.265e-02 | loss_e1: 1.599e-02 | loss_e2: 5.601e-03
[112][112/1200][1/1] | loss: 1.326e-02 | loss_train: 1.492e-03 | loss_e0: 1.704e-02 | loss_e1: 1.639e-02 | loss_e2: 6.357e-03
[113][113/1200][1/1] | loss: 1.298e-02 | loss_train: 2.060e-03 | loss_e0: 1.799e-02 | loss_e1: 1.611e-02 | loss_e2: 4.836e-03
[114][114/1200][1/1] | loss: 1.440e-02 | loss_train: 1.401e-03 | loss_e0: 2.118e-02 | loss_e1: 1.830e-02 | loss_e2: 3.711e-03
[115][115/1200][1/1] | loss: 1.308e-02 | loss_train: 1.696e-03 | loss_e0: 1.837e-02 | loss_e1: 1.739e-02 | loss_e2: 3.470e-03
[116][116/1200][1/1] | loss: 1.264e-02 | loss_train: 1.291e-03 | loss_e0: 1.591e-02 | loss_e1: 1.760e-02 | loss_e2: 4.424e-03
[117][117/1200][1/1] | loss: 1.457e-02 | loss_train: 1.793e-03 | loss_e0: 1.871e-02 | loss_e1: 2.116e-02 | loss_e2: 3.839e-03
[118][118/1200][1/1] | loss: 1.600e-02 | loss_train: 1.270e-03 | loss_e0: 1.984e-02 | loss_e1: 2.477e-02 | loss_e2: 3.377e-03
[119][119/1200][1/1] | loss: 1.461e-02 | loss_train: 1.648e-03 | loss_e0: 1.799e-02 | loss_e1: 2.266e-02 | loss_e2: 3.189e-03
[120][120/1200][1/1] | loss: 1.031e-02 | loss_train: 1.396e-03 | loss_e0: 1.275e-02 | loss_e1: 1.529e-02 | loss_e2: 2.890e-03
[121][121/1200][1/1] | loss: 9.706e-03 | loss_train: 1.566e-03 | loss_e0: 1.330e-02 | loss_e1: 1.309e-02 | loss_e2: 2.728e-03
[122][122/1200][1/1] | loss: 1.362e-02 | loss_train: 2.021e-03 | loss_e0: 1.988e-02 | loss_e1: 1.604e-02 | loss_e2: 4.943e-03
[123][123/1200][1/1] | loss: 8.522e-03 | loss_train: 1.410e-03 | loss_e0: 1.061e-02 | loss_e1: 1.249e-02 | loss_e2: 2.460e-03
[124][124/1200][1/1] | loss: 1.158e-02 | loss_train: 1.767e-03 | loss_e0: 1.488e-02 | loss_e1: 1.599e-02 | loss_e2: 3.880e-03
[125][125/1200][1/1] | loss: 8.452e-03 | loss_train: 1.394e-03 | loss_e0: 1.104e-02 | loss_e1: 1.198e-02 | loss_e2: 2.341e-03
[126][126/1200][1/1] | loss: 8.909e-03 | loss_train: 1.614e-03 | loss_e0: 1.208e-02 | loss_e1: 1.160e-02 | loss_e2: 3.050e-03
[127][127/1200][1/1] | loss: 8.862e-03 | loss_train: 1.784e-03 | loss_e0: 1.182e-02 | loss_e1: 1.206e-02 | loss_e2: 2.706e-03
[128][128/1200][1/1] | loss: 1.273e-02 | loss_train: 1.255e-03 | loss_e0: 2.213e-02 | loss_e1: 1.228e-02 | loss_e2: 3.792e-03
[129][129/1200][1/1] | loss: 1.695e-02 | loss_train: 1.604e-03 | loss_e0: 3.115e-02 | loss_e1: 1.483e-02 | loss_e2: 4.857e-03
[130][130/1200][1/1] | loss: 1.918e-02 | loss_train: 1.522e-03 | loss_e0: 3.446e-02 | loss_e1: 1.827e-02 | loss_e2: 4.825e-03
[131][131/1200][1/1] | loss: 1.588e-02 | loss_train: 1.255e-03 | loss_e0: 2.736e-02 | loss_e1: 1.657e-02 | loss_e2: 3.695e-03
[132][132/1200][1/1] | loss: 1.226e-02 | loss_train: 1.462e-03 | loss_e0: 1.572e-02 | loss_e1: 1.634e-02 | loss_e2: 4.731e-03
[133][133/1200][1/1] | loss: 1.047e-02 | loss_train: 1.620e-03 | loss_e0: 9.162e-03 | loss_e1: 1.734e-02 | loss_e2: 4.898e-03
[134][134/1200][1/1] | loss: 1.012e-02 | loss_train: 1.675e-03 | loss_e0: 8.821e-03 | loss_e1: 1.873e-02 | loss_e2: 2.802e-03
[135][135/1200][1/1] | loss: 1.043e-02 | loss_train: 1.302e-03 | loss_e0: 9.584e-03 | loss_e1: 1.932e-02 | loss_e2: 2.380e-03
[136][136/1200][1/1] | loss: 8.911e-03 | loss_train: 2.045e-03 | loss_e0: 8.138e-03 | loss_e1: 1.606e-02 | loss_e2: 2.532e-03
[137][137/1200][1/1] | loss: 1.143e-02 | loss_train: 1.080e-03 | loss_e0: 1.265e-02 | loss_e1: 1.706e-02 | loss_e2: 4.592e-03
[138][138/1200][1/1] | loss: 1.332e-02 | loss_train: 1.457e-03 | loss_e0: 1.589e-02 | loss_e1: 1.775e-02 | loss_e2: 6.317e-03
[139][139/1200][1/1] | loss: 8.198e-03 | loss_train: 1.855e-03 | loss_e0: 9.217e-03 | loss_e1: 1.289e-02 | loss_e2: 2.484e-03
[140][140/1200][1/1] | loss: 7.334e-03 | loss_train: 1.329e-03 | loss_e0: 7.126e-03 | loss_e1: 1.192e-02 | loss_e2: 2.958e-03
[141][141/1200][1/1] | loss: 7.402e-03 | loss_train: 3.131e-03 | loss_e0: 7.202e-03 | loss_e1: 1.165e-02 | loss_e2: 3.357e-03
[142][142/1200][1/1] | loss: 1.403e-02 | loss_train: 2.229e-03 | loss_e0: 1.544e-02 | loss_e1: 2.420e-02 | loss_e2: 2.461e-03
[143][143/1200][1/1] | loss: 1.530e-02 | loss_train: 1.348e-03 | loss_e0: 1.461e-02 | loss_e1: 2.902e-02 | loss_e2: 2.268e-03
[144][144/1200][1/1] | loss: 1.297e-02 | loss_train: 3.006e-03 | loss_e0: 1.206e-02 | loss_e1: 2.239e-02 | loss_e2: 4.456e-03
[145][145/1200][1/1] | loss: 5.053e-02 | loss_train: 5.433e-03 | loss_e0: 5.029e-02 | loss_e1: 8.955e-02 | loss_e2: 1.176e-02
[146][146/1200][1/1] | loss: 4.273e-02 | loss_train: 2.673e-03 | loss_e0: 4.849e-02 | loss_e1: 7.110e-02 | loss_e2: 8.600e-03
[147][147/1200][1/1] | loss: 1.994e-02 | loss_train: 2.288e-03 | loss_e0: 3.547e-02 | loss_e1: 1.720e-02 | loss_e2: 7.150e-03
[148][148/1200][1/1] | loss: 1.967e-02 | loss_train: 2.470e-03 | loss_e0: 2.335e-02 | loss_e1: 2.103e-02 | loss_e2: 1.462e-02
[149][149/1200][1/1] | loss: 1.837e-02 | loss_train: 1.956e-03 | loss_e0: 1.628e-02 | loss_e1: 2.575e-02 | loss_e2: 1.307e-02
[150][150/1200][1/1] | loss: 1.570e-02 | loss_train: 2.829e-03 | loss_e0: 1.313e-02 | loss_e1: 2.642e-02 | loss_e2: 7.561e-03
[150][150/1200][1/1] | loss_test_mean: 2.189e-02 | loss_test_std: 4.437e-03
[151][151/1200][1/1] | loss: 1.319e-02 | loss_train: 2.473e-03 | loss_e0: 1.095e-02 | loss_e1: 2.453e-02 | loss_e2: 4.093e-03
[152][152/1200][1/1] | loss: 1.229e-02 | loss_train: 1.762e-03 | loss_e0: 9.935e-03 | loss_e1: 2.422e-02 | loss_e2: 2.711e-03
[153][153/1200][1/1] | loss: 1.260e-02 | loss_train: 2.322e-03 | loss_e0: 1.156e-02 | loss_e1: 2.305e-02 | loss_e2: 3.184e-03
[154][154/1200][1/1] | loss: 1.108e-02 | loss_train: 2.010e-03 | loss_e0: 1.189e-02 | loss_e1: 1.626e-02 | loss_e2: 5.083e-03
[155][155/1200][1/1] | loss: 9.980e-03 | loss_train: 3.184e-03 | loss_e0: 1.191e-02 | loss_e1: 1.139e-02 | loss_e2: 6.642e-03
[156][156/1200][1/1] | loss: 1.203e-02 | loss_train: 1.845e-03 | loss_e0: 1.382e-02 | loss_e1: 1.634e-02 | loss_e2: 5.925e-03
[157][157/1200][1/1] | loss: 1.340e-02 | loss_train: 2.527e-03 | loss_e0: 1.396e-02 | loss_e1: 2.230e-02 | loss_e2: 3.948e-03
[158][158/1200][1/1] | loss: 9.749e-03 | loss_train: 1.684e-03 | loss_e0: 8.718e-03 | loss_e1: 1.678e-02 | loss_e2: 3.744e-03
[159][159/1200][1/1] | loss: 1.022e-02 | loss_train: 2.071e-03 | loss_e0: 9.006e-03 | loss_e1: 1.216e-02 | loss_e2: 9.497e-03
[160][160/1200][1/1] | loss: 1.130e-02 | loss_train: 1.979e-03 | loss_e0: 1.080e-02 | loss_e1: 1.159e-02 | loss_e2: 1.151e-02
[161][161/1200][1/1] | loss: 9.608e-03 | loss_train: 1.318e-03 | loss_e0: 9.616e-03 | loss_e1: 1.245e-02 | loss_e2: 6.755e-03
